Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2024,12/31/2024,CHIPOTLE 1615,Food & Drink,Sale,-10.97,
12/29/2024,12/31/2024,MIAS - BAY AREA,Food & Drink,Sale,-21.52,
12/27/2024,12/29/2024,CHICK-FIL-A #00862,Food & Drink,Sale,-11.42,
12/26/2024,12/27/2024,CAMBRIDGE HEALTH MYCHART,Health & Wellness,Sale,-24.15,
12/22/2024,12/23/2024,Amazon.com*Z99K89JX1,Shopping,Sale,-47.62,
12/20/2024,12/20/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-186.47,
12/18/2024,12/19/2024,UBER   *TRIP,Travel,Sale,-35.00,
12/17/2024,12/18/2024,TST*TORA JAPANESE RESTAU,Food & Drink,Sale,-71.12,
12/17/2024,12/18/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
12/18/2024,12/18/2024,AMAZON MKTPL*Z17343P61,Shopping,Sale,-55.19,
12/18/2024,12/18/2024,Zipcar Monthly Plan,Travel,Sale,-9.56,
12/17/2024,12/17/2024,AUTOMATIC PAYMENT - THANK,,Payment,2326.31,
12/15/2024,12/17/2024,ALI BABA RESTAURANT,Food & Drink,Sale,-68.23,
12/14/2024,12/16/2024,BAMBARA,Food & Drink,Sale,-130.83,
12/14/2024,12/15/2024,CHIPOTLE 1615,Food & Drink,Sale,-10.97,
12/14/2024,12/15/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
12/12/2024,12/13/2024,SQ *LAMPLIGHTER BREWING C,Food & Drink,Sale,-10.16,
12/12/2024,12/13/2024,Store,Food & Drink,Sale,-15.05,
12/11/2024,12/12/2024,Subway 31620,Food & Drink,Sale,-14.10,
12/10/2024,12/11/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
12/08/2024,12/10/2024,FUDDRUCKERS,Food & Drink,Sale,-13.35,
12/08/2024,12/10/2024,FUDDRUCKERS,Food & Drink,Sale,-4.80,
12/09/2024,12/09/2024,UBER   *EATS,Food & Drink,Sale,-44.03,
12/08/2024,12/08/2024,UBER   *EATS,Food & Drink,Sale,-23.91,
12/06/2024,12/08/2024,UBER   *TRIP,Travel,Sale,-26.52,
12/05/2024,12/06/2024,SQ *BEANTOWN PASTRAMI COM,Food & Drink,Sale,-17.17,
12/04/2024,12/05/2024,PAI KIN KAO BOSTON LLC,Food & Drink,Sale,-30.09,
12/04/2024,12/05/2024,CHIPOTLE ONLINE,Food & Drink,Sale,-10.81,
12/03/2024,12/04/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
12/01/2024,12/02/2024,SQ *DAVE'S COFFEE PROVIDE,Food & Drink,Sale,-12.40,
12/01/2024,12/01/2024,UBER   *EATS,Food & Drink,Sale,-37.95,
11/26/2024,11/27/2024,Subway 64335,Food & Drink,Sale,-13.30,
11/20/2024,11/26/2024,Returned Payment,,Reversal,-6143.57,
11/25/2024,11/26/2024,Subway 2394,Food & Drink,Sale,-11.41,
11/22/2024,11/24/2024,DELAWARE NORTH LOGAN F&amp;B,Food & Drink,Sale,-11.66,
