Category,Sub,jan 23,feb 23,mar 23,apr 23,may 23,jun 23,jul 23,aug 23,sept 23,oct 23,nov 23,dec 23
Apartment,Rent,,,,,,,,,extra $50 lost fob,,25 dollar fee for something,
Apartment,Utility,,,,,,renter's insurance,,,,,,
Apartment,Internet,,,,,,,,,,,,
Food,Groceries,,,Cooking w Houston Rice friends,,,,,,,,,
Food,Social food/drinks,,,,,shyam tooth night karaoke ,,,,,,,"couple nice meals / going out, skiing bars"
Transportation,Transit,,,,,,,,,korea ,korea scooters etc.,,
Transportation,Uber/driving,,Zipcar,Commuter card !,,,,,,korea ,,,
Transportation,Travel,third SA flight,flight home,,Zipcar,plane wifi,"austin, sf, houston",,,,,,
Entertainment/other,,EIC ski trip,EIC ski trip,"Alvarez print, PAX, Crawl tix, dropkick + valley tix ","Go karts, golf, red sox","atm cash, shyam eric paint n sip, family astros","fenway pklball, europe atm",,,"cash, mostly korea","stros playoff tix, flights",,nice
Shopping,Other,,,Pool cue for Pop,Pool cue for Pop,Fix phone screen,Fix phone screen,korea,,,,piano,
Shopping,Clothing ,,,"Thrifting w Josue/Maggie, mall w Ethan","Thrifting w Josue/Maggie, mall w Ethan","Thrifting w Josue/Maggie, mall w Ethan","Thrifting w Josue/Maggie, mall w Ethan",,,,,ski clothes,"ethan hoodie, ski goggles"
Health,Medication,,,,,,Ear infection,,,,,,
Health,Exercise,,volo pkl,,,,usta league,,tennis,tennis,,"ikon pass, golf",killington ski
Health,Medical,,,,,,PCP + leftover concussion bill,mostly year of contacts,,a shit ton of contacts + sick all month,,,
Food,Necessary meals,,,,,,,,,more uber eats,,,
Subscriptions donations etc,,google storage,"google storage, the athletic","google storage, the athletic",google storage,"google storage, zipcar","google storage, zipcar","google storage, zipcar","google storage, zipcar","google storage, zipcar","google storage, zipcar, csp fee","google storage, zipcar, csp fee","google storage, zipcar, csp fee"
Health,Haircut etc,,,,,,,,,,korea,,
